model,Descriptor,Enzyme,scaler,split,Accuracy,criterion,n_estimators,Category,Enzyme x Descriptor
rfc,PC,HIV-1 IN,std,1,0.959114139693356,gini,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.9586882453151618,gini,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.9586882453151618,gini,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.9574105621805792,gini,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.9586882453151618,gini,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.9565587734241908,entropy,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.956984667802385,entropy,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.9578364565587736,entropy,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.9582623509369677,entropy,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,1,0.959114139693356,entropy,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.9552810902896082,gini,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.956984667802385,gini,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.956984667802385,gini,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.9557069846678024,gini,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.9561328790459966,gini,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.9552810902896082,entropy,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.954855195911414,entropy,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.954855195911414,entropy,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.954855195911414,entropy,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,2,0.9552810902896082,entropy,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9625212947189096,gini,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.962947189097104,gini,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9616695059625212,gini,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9625212947189096,gini,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9616695059625212,gini,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9608177172061328,entropy,100,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9608177172061328,entropy,500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9625212947189096,entropy,1000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9625212947189096,entropy,1500,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,3,0.9616695059625212,entropy,2000,A,HIV-1 IN x PC
rfc,PC,HIV-1 IN,std,4,0.9552810902896082,gini,100,A,HIV-1 IN x PC
