Model,Enzyme,Mean,Median,Min,Max,Range,IQR,Std Dev
ABC,HIV-1 IN,0.7631,0.7547,0.7074,0.8773,0.1699,0.072,0.0464
ABC,HIV-1 PR,0.935,0.9294,0.9275,0.9812,0.0537,0.0063,0.0125
ABC,HIV-1 RT,0.7441,0.7193,0.7193,0.8406,0.1213,0.0528,0.0374
CNN,HIV-1 IN,0.9174,0.9319,0.8492,0.9502,0.101,0.0529,0.0306
CNN,HIV-1 PR,0.9702,0.9717,0.9522,0.986,0.0338,0.0114,0.0084
CNN,HIV-1 RT,0.9073,0.9139,0.8619,0.9329,0.071,0.0316,0.0217
DTC,HIV-1 IN,0.8786,0.9216,0.7074,0.9463,0.2389,0.1005,0.076
DTC,HIV-1 PR,0.9651,0.972,0.9275,0.9797,0.0522,0.0127,0.0148
DTC,HIV-1 RT,0.8662,0.9113,0.7169,0.929,0.2121,0.1228,0.0738
GNB,HIV-1 IN,0.7491,0.836,0.5468,0.8705,0.3237,0.3085,0.1421
GNB,HIV-1 PR,0.8527,0.856,0.7119,0.9522,0.2403,0.0872,0.0563
GNB,HIV-1 RT,0.7319,0.7779,0.5045,0.808,0.3035,0.116,0.0881
GPC,HIV-1 IN,0.8811,0.879,0.7666,0.9651,0.1985,0.0324,0.0374
GPC,HIV-1 PR,0.9321,0.9299,0.0725,0.987,0.9145,0.014,0.0656
GPC,HIV-1 RT,0.8487,0.8496,0.2807,0.9521,0.6714,0.0152,0.0712
KNN,HIV-1 IN,0.9187,0.9223,0.8326,0.9651,0.1325,0.0623,0.0366
KNN,HIV-1 PR,0.9636,0.9686,0.9343,0.9841,0.0498,0.0282,0.0152
KNN,HIV-1 RT,0.9102,0.9184,0.8427,0.9557,0.113,0.0674,0.0355
MLP,HIV-1 IN,0.9304,0.9306,0.8974,0.954,0.0566,0.0132,0.0134
MLP,HIV-1 PR,0.9697,0.9722,0.9319,0.9802,0.0483,0.0089,0.0101
MLP,HIV-1 RT,0.9092,0.9119,0.8778,0.9329,0.0551,0.0228,0.0157
QDA,HIV-1 IN,0.6509,0.6574,0.0703,0.9485,0.8782,0.3178,0.2306
QDA,HIV-1 PR,0.7394,0.9275,0.0585,0.9502,0.8917,0.1582,0.3192
QDA,HIV-1 RT,0.7095,0.7233,0.2001,0.9071,0.707,0.1159,0.1864
RFC,HIV-1 IN,0.96,0.96,0.954,0.9689,0.0149,0.006,0.0041
RFC,HIV-1 PR,0.9803,0.9802,0.9739,0.9855,0.0116,0.0034,0.0022
RFC,HIV-1 RT,0.9483,0.9485,0.9398,0.956,0.0162,0.0027,0.0027
SVC,HIV-1 IN,0.8191,0.8371,0.5741,0.9676,0.3935,0.1551,0.1261
SVC,HIV-1 PR,0.957,0.9628,0.8739,0.9855,0.1116,0.0291,0.0204
SVC,HIV-1 RT,0.8418,0.8578,0.5617,0.9599,0.3982,0.1489,0.0905
