Descriptor,Enzyme,model,scaler,split,Accuracy
PC,IN,mlp,std,1,0.9552810902896082
PC,IN,mlp,std,2,0.954855195911414
PC,IN,mlp,std,3,0.9574105621805792
PC,IN,mlp,std,4,0.9501703577512776
PC,IN,mlp,minmax,1,0.9522998296422488
PC,IN,mlp,minmax,2,0.9531516183986372
PC,IN,mlp,minmax,3,0.9531516183986372
PC,IN,mlp,minmax,4,0.942504258943782
ECFP4,IN,mlp,std,1,0.9535775127768312
ECFP4,IN,mlp,std,2,0.9540034071550256
ECFP4,IN,mlp,std,3,0.9501703577512776
ECFP4,IN,mlp,std,4,0.9518739352640544
ECFP4,IN,mlp,minmax,1,0.9578364565587736
ECFP4,IN,mlp,minmax,2,0.959114139693356
ECFP4,IN,mlp,minmax,3,0.9633730834752982
ECFP4,IN,mlp,minmax,4,0.959114139693356
MIX,IN,mlp,std,1,0.9574105621805792
MIX,IN,mlp,std,2,0.9531516183986372
MIX,IN,mlp,std,3,0.9557069846678024
MIX,IN,mlp,std,4,0.9574105621805792
MIX,IN,mlp,minmax,1,0.962947189097104
MIX,IN,mlp,minmax,2,0.954855195911414
MIX,IN,mlp,minmax,3,0.9599659284497444
MIX,IN,mlp,minmax,4,0.9663543441226576
PC,PR,mlp,std,1,0.9811503141614306
PC,PR,mlp,std,2,0.9816336394393428
PC,PR,mlp,std,3,0.9806669888835186
PC,PR,mlp,std,4,0.9806669888835186
PC,PR,mlp,minmax,1,0.9792170130497824
PC,PR,mlp,minmax,2,0.9772837119381343
PC,PR,mlp,minmax,3,0.9763170613823104
PC,PR,mlp,minmax,4,0.9797003383276944
ECFP4,PR,mlp,std,1,0.9816336394393428
ECFP4,PR,mlp,std,2,0.9826002899951668
ECFP4,PR,mlp,std,3,0.9816336394393428
ECFP4,PR,mlp,std,4,0.9816336394393428
ECFP4,PR,mlp,minmax,1,0.9816336394393428
ECFP4,PR,mlp,minmax,2,0.9801836636056066
ECFP4,PR,mlp,minmax,3,0.9801836636056066
ECFP4,PR,mlp,minmax,4,0.9816336394393428
MIX,PR,mlp,std,1,0.9874335427742872
MIX,PR,mlp,std,2,0.9879168680521992
MIX,PR,mlp,std,3,0.985983566940551
MIX,PR,mlp,std,4,0.9874335427742872
MIX,PR,mlp,minmax,1,0.9835669405509908
MIX,PR,mlp,minmax,2,0.9835669405509908
MIX,PR,mlp,minmax,3,0.9830836152730787
MIX,PR,mlp,minmax,4,0.9826002899951668
PC,RT,mlp,std,1,0.9529658478130616
PC,RT,mlp,std,2,0.951168364289994
PC,RT,mlp,std,3,0.9442780107849011
PC,RT,mlp,std,4,0.9463750748951468
PC,RT,mlp,minmax,1,0.9442780107849011
PC,RT,mlp,minmax,2,0.9460754943079688
PC,RT,mlp,minmax,3,0.9427801078490112
PC,RT,mlp,minmax,4,0.939484721390054
ECFP4,RT,mlp,std,1,0.9466746554823248
ECFP4,RT,mlp,std,2,0.9436788496105452
ECFP4,RT,mlp,std,3,0.950569203115638
ECFP4,RT,mlp,std,4,0.9493708807669264
ECFP4,RT,mlp,minmax,1,0.95026962252846
ECFP4,RT,mlp,minmax,2,0.9472738166566806
ECFP4,RT,mlp,minmax,3,0.9526662672258838
ECFP4,RT,mlp,minmax,4,0.95176752546435
MIX,RT,mlp,std,1,0.9466746554823248
MIX,RT,mlp,std,2,0.9490713001797484
MIX,RT,mlp,std,3,0.9490713001797484
MIX,RT,mlp,std,4,0.9412822049131216
MIX,RT,mlp,minmax,1,0.9469742360695028
MIX,RT,mlp,minmax,2,0.9442780107849011
MIX,RT,mlp,minmax,3,0.9496704613541044
MIX,RT,mlp,minmax,4,0.945176752546435
