Descriptor,Enzyme,model,scaler,split,Accuracy,C,degree,kernel
PC,IN,svc,std,1,0.5787904599659285,0.2,3,poly
PC,IN,svc,std,1,0.7879045996592845,0.2,0,rbf
PC,IN,svc,std,1,0.626916524701874,0.2,0,sigmoid
PC,IN,svc,std,1,0.5787904599659285,0.2,4,poly
PC,IN,svc,std,1,0.5804940374787053,0.2,5,poly
PC,IN,svc,std,1,0.5830494037478705,1.0,3,poly
PC,IN,svc,std,1,0.8232538330494037,1.0,0,rbf
PC,IN,svc,std,1,0.588160136286201,1.0,0,sigmoid
PC,IN,svc,std,1,0.5826235093696763,1.0,4,poly
PC,IN,svc,std,1,0.583901192504259,1.0,5,poly
PC,IN,svc,std,1,0.5864565587734242,2.0,3,poly
PC,IN,svc,std,1,0.8377342419080068,2.0,0,rbf
PC,IN,svc,std,1,0.5868824531516184,2.0,0,sigmoid
PC,IN,svc,std,1,0.5851788756388415,2.0,4,poly
PC,IN,svc,std,1,0.583901192504259,2.0,5,poly
PC,IN,svc,std,1,0.8185689948892675,8.0,3,poly
PC,IN,svc,std,1,0.8683986371379898,8.0,0,rbf
PC,IN,svc,std,1,0.580068143100511,8.0,0,sigmoid
PC,IN,svc,std,1,0.5877342419080068,8.0,4,poly
PC,IN,svc,std,1,0.5868824531516184,8.0,5,poly
PC,IN,svc,std,2,0.5792163543441227,0.2,3,poly
PC,IN,svc,std,2,0.7819420783645656,0.2,0,rbf
PC,IN,svc,std,2,0.6367120954003407,0.2,0,sigmoid
PC,IN,svc,std,2,0.5796422487223168,0.2,4,poly
PC,IN,svc,std,2,0.5804940374787053,0.2,5,poly
PC,IN,svc,std,2,0.5813458262350937,1.0,3,poly
PC,IN,svc,std,2,0.8224020442930153,1.0,0,rbf
PC,IN,svc,std,2,0.5954003407155025,1.0,0,sigmoid
PC,IN,svc,std,2,0.5804940374787053,1.0,4,poly
PC,IN,svc,std,2,0.5817717206132879,1.0,5,poly
PC,IN,svc,std,2,0.5868824531516184,2.0,3,poly
PC,IN,svc,std,2,0.8224020442930153,2.0,0,rbf
PC,IN,svc,std,2,0.5928449744463373,2.0,0,sigmoid
PC,IN,svc,std,2,0.583901192504259,2.0,4,poly
PC,IN,svc,std,2,0.583901192504259,2.0,5,poly
PC,IN,svc,std,2,0.7896081771720613,8.0,3,poly
PC,IN,svc,std,2,0.8718057921635435,8.0,0,rbf
PC,IN,svc,std,2,0.5851788756388415,8.0,0,sigmoid
PC,IN,svc,std,2,0.5885860306643952,8.0,4,poly
PC,IN,svc,std,2,0.5877342419080068,8.0,5,poly
PC,IN,svc,std,3,0.5792163543441227,0.2,3,poly
PC,IN,svc,std,3,0.7840715502555367,0.2,0,rbf
PC,IN,svc,std,3,0.6409710391822828,0.2,0,sigmoid
PC,IN,svc,std,3,0.5792163543441227,0.2,4,poly
PC,IN,svc,std,3,0.5804940374787053,0.2,5,poly
PC,IN,svc,std,3,0.5809199318568995,1.0,3,poly
PC,IN,svc,std,3,0.8253833049403748,1.0,0,rbf
PC,IN,svc,std,3,0.5919931856899489,1.0,0,sigmoid
PC,IN,svc,std,3,0.5817717206132879,1.0,4,poly
PC,IN,svc,std,3,0.5826235093696763,1.0,5,poly
PC,IN,svc,std,3,0.5873083475298126,2.0,3,poly
PC,IN,svc,std,3,0.8385860306643952,2.0,0,rbf
PC,IN,svc,std,3,0.5898637137989778,2.0,0,sigmoid
PC,IN,svc,std,3,0.5851788756388415,2.0,4,poly
PC,IN,svc,std,3,0.5847529812606473,2.0,5,poly
PC,IN,svc,std,3,0.8023850085178875,8.0,3,poly
PC,IN,svc,std,3,0.8786201022146508,8.0,0,rbf
PC,IN,svc,std,3,0.5741056218057922,8.0,0,sigmoid
PC,IN,svc,std,3,0.5954003407155025,8.0,4,poly
PC,IN,svc,std,3,0.5868824531516184,8.0,5,poly
PC,IN,svc,std,4,0.5792163543441227,0.2,3,poly
PC,IN,svc,std,4,0.7887563884156729,0.2,0,rbf
PC,IN,svc,std,4,0.6388415672913118,0.2,0,sigmoid
PC,IN,svc,std,4,0.5770868824531517,0.2,4,poly
PC,IN,svc,std,4,0.580068143100511,0.2,5,poly
PC,IN,svc,std,4,0.5830494037478705,1.0,3,poly
PC,IN,svc,std,4,0.8211243611584327,1.0,0,rbf
PC,IN,svc,std,4,0.5966780238500852,1.0,0,sigmoid
PC,IN,svc,std,4,0.5787904599659285,1.0,4,poly
PC,IN,svc,std,4,0.580068143100511,1.0,5,poly
PC,IN,svc,std,4,0.5877342419080068,2.0,3,poly
PC,IN,svc,std,4,0.8377342419080068,2.0,0,rbf
PC,IN,svc,std,4,0.5890119250425895,2.0,0,sigmoid
PC,IN,svc,std,4,0.5809199318568995,2.0,4,poly
PC,IN,svc,std,4,0.5813458262350937,2.0,5,poly
PC,IN,svc,std,4,0.7994037478705281,8.0,3,poly
PC,IN,svc,std,4,0.8683986371379898,8.0,0,rbf
PC,IN,svc,std,4,0.58603066439523,8.0,0,sigmoid
PC,IN,svc,std,4,0.5868824531516184,8.0,4,poly
PC,IN,svc,std,4,0.5847529812606473,8.0,5,poly
PC,IN,svc,minmax,1,0.7614991482112436,0.2,3,poly
PC,IN,svc,minmax,1,0.7632027257240205,0.2,0,rbf
PC,IN,svc,minmax,1,0.7010221465076661,0.2,0,sigmoid
PC,IN,svc,minmax,1,0.7649063032367973,0.2,4,poly
PC,IN,svc,minmax,1,0.7559625212947189,0.2,5,poly
PC,IN,svc,minmax,1,0.7955706984667802,1.0,3,poly
PC,IN,svc,minmax,1,0.7900340715502555,1.0,0,rbf
PC,IN,svc,minmax,1,0.6793015332197615,1.0,0,sigmoid
PC,IN,svc,minmax,1,0.8015332197614992,1.0,4,poly
PC,IN,svc,minmax,1,0.8049403747870528,1.0,5,poly
PC,IN,svc,minmax,1,0.8121805792163543,2.0,3,poly
PC,IN,svc,minmax,1,0.805366269165247,2.0,0,rbf
PC,IN,svc,minmax,1,0.6614139693356048,2.0,0,sigmoid
PC,IN,svc,minmax,1,0.8202725724020443,2.0,4,poly
PC,IN,svc,minmax,1,0.823679727427598,2.0,5,poly
PC,IN,svc,minmax,1,0.8373083475298126,8.0,3,poly
PC,IN,svc,minmax,1,0.8321976149914821,8.0,0,rbf
PC,IN,svc,minmax,1,0.6452299829642248,8.0,0,sigmoid
PC,IN,svc,minmax,1,0.8458262350936968,8.0,4,poly
PC,IN,svc,minmax,1,0.8556218057921635,8.0,5,poly
PC,IN,svc,minmax,2,0.7632027257240205,0.2,3,poly
PC,IN,svc,minmax,2,0.7687393526405452,0.2,0,rbf
PC,IN,svc,minmax,2,0.7201873935264055,0.2,0,sigmoid
PC,IN,svc,minmax,2,0.7614991482112436,0.2,4,poly
PC,IN,svc,minmax,2,0.7576660988074957,0.2,5,poly
PC,IN,svc,minmax,2,0.7964224872231687,1.0,3,poly
PC,IN,svc,minmax,2,0.7955706984667802,1.0,0,rbf
PC,IN,svc,minmax,2,0.6695059625212947,1.0,0,sigmoid
PC,IN,svc,minmax,2,0.8028109028960818,1.0,4,poly
PC,IN,svc,minmax,2,0.8040885860306644,1.0,5,poly
PC,IN,svc,minmax,2,0.8100511073253833,2.0,3,poly
PC,IN,svc,minmax,2,0.8143100511073254,2.0,0,rbf
PC,IN,svc,minmax,2,0.6541737649063032,2.0,0,sigmoid
PC,IN,svc,minmax,2,0.8202725724020443,2.0,4,poly
PC,IN,svc,minmax,2,0.8198466780238501,2.0,5,poly
PC,IN,svc,minmax,2,0.83603066439523,8.0,3,poly
PC,IN,svc,minmax,2,0.8326235093696763,8.0,0,rbf
PC,IN,svc,minmax,2,0.633304940374787,8.0,0,sigmoid
PC,IN,svc,minmax,2,0.846252129471891,8.0,4,poly
PC,IN,svc,minmax,2,0.8513628620102215,8.0,5,poly
PC,IN,svc,minmax,3,0.7687393526405452,0.2,3,poly
PC,IN,svc,minmax,3,0.7695911413969335,0.2,0,rbf
PC,IN,svc,minmax,3,0.7240204429301533,0.2,0,sigmoid
PC,IN,svc,minmax,3,0.7678875638841567,0.2,4,poly
PC,IN,svc,minmax,3,0.7678875638841567,0.2,5,poly
PC,IN,svc,minmax,3,0.7998296422487223,1.0,3,poly
PC,IN,svc,minmax,3,0.7959965928449745,1.0,0,rbf
PC,IN,svc,minmax,3,0.6831345826235093,1.0,0,sigmoid
PC,IN,svc,minmax,3,0.8083475298126065,1.0,4,poly
PC,IN,svc,minmax,3,0.8164395229982965,1.0,5,poly
PC,IN,svc,minmax,3,0.8109028960817717,2.0,3,poly
PC,IN,svc,minmax,3,0.8100511073253833,2.0,0,rbf
PC,IN,svc,minmax,3,0.6648211243611585,2.0,0,sigmoid
PC,IN,svc,minmax,3,0.8228279386712095,2.0,4,poly
PC,IN,svc,minmax,3,0.82793867120954,2.0,5,poly
PC,IN,svc,minmax,3,0.8373083475298126,8.0,3,poly
PC,IN,svc,minmax,3,0.8313458262350937,8.0,0,rbf
PC,IN,svc,minmax,3,0.6473594548551959,8.0,0,sigmoid
PC,IN,svc,minmax,3,0.8496592844974447,8.0,4,poly
PC,IN,svc,minmax,3,0.8611584327086882,8.0,5,poly
PC,IN,svc,minmax,4,0.7678875638841567,0.2,3,poly
PC,IN,svc,minmax,4,0.7670357751277683,0.2,0,rbf
PC,IN,svc,minmax,4,0.7082623509369677,0.2,0,sigmoid
PC,IN,svc,minmax,4,0.7687393526405452,0.2,4,poly
PC,IN,svc,minmax,4,0.764480408858603,0.2,5,poly
PC,IN,svc,minmax,4,0.7917376490630323,1.0,3,poly
PC,IN,svc,minmax,4,0.790885860306644,1.0,0,rbf
PC,IN,svc,minmax,4,0.6827086882453152,1.0,0,sigmoid
PC,IN,svc,minmax,4,0.8019591141396933,1.0,4,poly
PC,IN,svc,minmax,4,0.807495741056218,1.0,5,poly
PC,IN,svc,minmax,4,0.8172913117546848,2.0,3,poly
PC,IN,svc,minmax,4,0.8104770017035775,2.0,0,rbf
PC,IN,svc,minmax,4,0.6665247018739353,2.0,0,sigmoid
PC,IN,svc,minmax,4,0.8224020442930153,2.0,4,poly
PC,IN,svc,minmax,4,0.8253833049403748,2.0,5,poly
PC,IN,svc,minmax,4,0.838160136286201,8.0,3,poly
PC,IN,svc,minmax,4,0.8287904599659285,8.0,0,rbf
PC,IN,svc,minmax,4,0.6482112436115843,8.0,0,sigmoid
PC,IN,svc,minmax,4,0.8479557069846678,8.0,4,poly
PC,IN,svc,minmax,4,0.8556218057921635,8.0,5,poly
ECFP4,IN,svc,std,1,0.6060477001703578,0.2,3,poly
ECFP4,IN,svc,std,1,0.8568994889267462,0.2,0,rbf
ECFP4,IN,svc,std,1,0.8598807495741057,0.2,0,sigmoid
ECFP4,IN,svc,std,1,0.5864565587734242,0.2,4,poly
ECFP4,IN,svc,std,1,0.588160136286201,0.2,5,poly
ECFP4,IN,svc,std,1,0.9258943781942078,1.0,3,poly
ECFP4,IN,svc,std,1,0.9429301533219762,1.0,0,rbf
ECFP4,IN,svc,std,1,0.870954003407155,1.0,0,sigmoid
ECFP4,IN,svc,std,1,0.8837308347529813,1.0,4,poly
ECFP4,IN,svc,std,1,0.846252129471891,1.0,5,poly
ECFP4,IN,svc,std,1,0.9484667802385008,2.0,3,poly
ECFP4,IN,svc,std,1,0.9565587734241908,2.0,0,rbf
ECFP4,IN,svc,std,1,0.8603066439522998,2.0,0,sigmoid
