Model,Enzyme,Descriptor,n_estimators,Criteria,Accuracy
RFC,HIV-1 PR,PC,100,Entropy,0.9812107298211696
RFC,HIV-1 PR,PC,100,Gini,0.9822377960367328
RFC,HIV-1 PR,PC,1000,Entropy,0.9814523924601257
RFC,HIV-1 PR,PC,1000,Gini,0.9822982116964718
RFC,HIV-1 PR,PC,2000,Entropy,0.9807878202029966
RFC,HIV-1 PR,PC,2000,Gini,0.9820565490575157
RFC,HIV-1 PR,PC,500,Entropy,0.9810294828419526
RFC,HIV-1 PR,PC,500,Gini,0.9819357177380377
RFC,HIV-1 PR,PC,1500,Entropy,0.9809690671822135
RFC,HIV-1 PR,PC,1500,Gini,0.9819961333977767
RFC,HIV-1 PR,ECFP4,100,Entropy,0.9794586756887385
RFC,HIV-1 PR,ECFP4,100,Gini,0.9778878685355243
RFC,HIV-1 PR,ECFP4,1000,Entropy,0.9795795070082165
RFC,HIV-1 PR,ECFP4,1000,Gini,0.9782503624939584
RFC,HIV-1 PR,ECFP4,2000,Entropy,0.9792170130497825
RFC,HIV-1 PR,ECFP4,2000,Gini,0.9783711938134364
RFC,HIV-1 PR,ECFP4,500,Entropy,0.9793378443692605
RFC,HIV-1 PR,ECFP4,500,Gini,0.9783711938134364
RFC,HIV-1 PR,ECFP4,1500,Entropy,0.9794586756887385
RFC,HIV-1 PR,ECFP4,1500,Gini,0.9783711938134364
RFC,HIV-1 PR,MIX,100,Entropy,0.9807878202029966
RFC,HIV-1 PR,MIX,100,Gini,0.9798815853069116
RFC,HIV-1 PR,MIX,1000,Entropy,0.9807878202029966
RFC,HIV-1 PR,MIX,1000,Gini,0.9799420009666505
RFC,HIV-1 PR,MIX,2000,Entropy,0.9809086515224745
RFC,HIV-1 PR,MIX,2000,Gini,0.9797607539874336
RFC,HIV-1 PR,MIX,500,Entropy,0.9806065732237796
RFC,HIV-1 PR,MIX,500,Gini,0.9798815853069115
RFC,HIV-1 PR,MIX,1500,Entropy,0.9810294828419526
RFC,HIV-1 PR,MIX,1500,Gini,0.9799420009666505
