Model,Enzyme,Descriptor,n_estimators,Criteria,Accuracy
RFC,HIV-1 RT,PC,100,Entropy,0.9485470341521869
RFC,HIV-1 RT,PC,100,Gini,0.9498576992210904
RFC,HIV-1 RT,PC,1000,Entropy,0.9493708807669263
RFC,HIV-1 RT,PC,1000,Gini,0.9503445176752546
RFC,HIV-1 RT,PC,2000,Entropy,0.9493708807669263
RFC,HIV-1 RT,PC,2000,Gini,0.9504194128220491
RFC,HIV-1 RT,PC,500,Entropy,0.9494457759137207
RFC,HIV-1 RT,PC,500,Gini,0.9500074895146795
RFC,HIV-1 RT,PC,1500,Entropy,0.9493708807669263
RFC,HIV-1 RT,PC,1500,Gini,0.9502696225284601
RFC,HIV-1 RT,ECFP4,100,Entropy,0.9485470341521869
RFC,HIV-1 RT,ECFP4,100,Gini,0.9474236069502695
RFC,HIV-1 RT,ECFP4,1000,Entropy,0.9489964050329539
RFC,HIV-1 RT,ECFP4,1000,Gini,0.9483223487118035
RFC,HIV-1 RT,ECFP4,2000,Entropy,0.9489964050329538
RFC,HIV-1 RT,ECFP4,2000,Gini,0.9480227681246255
RFC,HIV-1 RT,ECFP4,500,Entropy,0.9485470341521869
RFC,HIV-1 RT,ECFP4,500,Gini,0.9488466147393649
RFC,HIV-1 RT,ECFP4,1500,Entropy,0.9488466147393648
RFC,HIV-1 RT,ECFP4,1500,Gini,0.9486219292989815
RFC,HIV-1 RT,MIX,100,Entropy,0.946412522468544
RFC,HIV-1 RT,MIX,100,Gini,0.9465248651887358
RFC,HIV-1 RT,MIX,1000,Entropy,0.946861893349311
RFC,HIV-1 RT,MIX,1000,Gini,0.9468618933493109
RFC,HIV-1 RT,MIX,2000,Entropy,0.9466372079089274
RFC,HIV-1 RT,MIX,2000,Gini,0.9463750748951467
RFC,HIV-1 RT,MIX,500,Entropy,0.9472738166566806
RFC,HIV-1 RT,MIX,500,Gini,0.9470865787896945
RFC,HIV-1 RT,MIX,1500,Entropy,0.9470116836429
RFC,HIV-1 RT,MIX,1500,Gini,0.9468993409227082
