Model,Enzyme,Descriptor,n_estimators,Criteria,Accuracy
RFC,HIV-1 IN,PC,100,Entropy,0.9565587734241908
RFC,HIV-1 IN,PC,100,Gini,0.9581026405451447
RFC,HIV-1 IN,PC,1000,Entropy,0.9577832197614992
RFC,HIV-1 IN,PC,1000,Gini,0.958155877342419
RFC,HIV-1 IN,PC,2000,Entropy,0.9577299829642248
RFC,HIV-1 IN,PC,2000,Gini,0.9579961669505963
RFC,HIV-1 IN,PC,500,Entropy,0.9567717206132879
RFC,HIV-1 IN,PC,500,Gini,0.9586350085178875
RFC,HIV-1 IN,PC,1500,Entropy,0.9578896933560477
RFC,HIV-1 IN,PC,1500,Gini,0.957942930153322
RFC,HIV-1 IN,ECFP4,100,Entropy,0.9614565587734242
RFC,HIV-1 IN,ECFP4,100,Gini,0.96103066439523
RFC,HIV-1 IN,ECFP4,1000,Entropy,0.9614565587734242
RFC,HIV-1 IN,ECFP4,1000,Gini,0.9612436115843271
RFC,HIV-1 IN,ECFP4,2000,Entropy,0.9616695059625213
RFC,HIV-1 IN,ECFP4,2000,Gini,0.960817717206133
RFC,HIV-1 IN,ECFP4,500,Entropy,0.961243611584327
RFC,HIV-1 IN,ECFP4,500,Gini,0.9604982964224873
RFC,HIV-1 IN,ECFP4,1500,Entropy,0.9615630323679728
RFC,HIV-1 IN,ECFP4,1500,Gini,0.9609241908006815
RFC,HIV-1 IN,MIX,100,Entropy,0.9597529812606475
RFC,HIV-1 IN,MIX,100,Gini,0.960445059625213
RFC,HIV-1 IN,MIX,1000,Entropy,0.96103066439523
RFC,HIV-1 IN,MIX,1000,Gini,0.9617759795570698
RFC,HIV-1 IN,MIX,2000,Entropy,0.96140332197615
RFC,HIV-1 IN,MIX,2000,Gini,0.9615630323679728
RFC,HIV-1 IN,MIX,500,Entropy,0.9607112436115843
RFC,HIV-1 IN,MIX,500,Gini,0.9615097955706985
RFC,HIV-1 IN,MIX,1500,Entropy,0.9611903747870528
RFC,HIV-1 IN,MIX,1500,Gini,0.961988926746167
RFC,HIV-1 PR,PC,100,Entropy,0.9812107298211696
RFC,HIV-1 PR,PC,100,Gini,0.9822377960367328
RFC,HIV-1 PR,PC,1000,Entropy,0.9814523924601257
RFC,HIV-1 PR,PC,1000,Gini,0.9822982116964718
RFC,HIV-1 PR,PC,2000,Entropy,0.9807878202029966
RFC,HIV-1 PR,PC,2000,Gini,0.9820565490575157
RFC,HIV-1 PR,PC,500,Entropy,0.9810294828419526
RFC,HIV-1 PR,PC,500,Gini,0.9819357177380377
RFC,HIV-1 PR,PC,1500,Entropy,0.9809690671822135
RFC,HIV-1 PR,PC,1500,Gini,0.9819961333977767
RFC,HIV-1 PR,ECFP4,100,Entropy,0.9794586756887385
