model,enzyme,descriptor,criterion,n_estimators,va_accuracy
RFC,HIV-1 RT,PC,gini,100,0.9498576992210904
RFC,HIV-1 RT,PC,gini,500,0.9500074895146795
RFC,HIV-1 RT,PC,gini,1000,0.9503445176752546
RFC,HIV-1 RT,PC,gini,1500,0.9502696225284601
RFC,HIV-1 RT,PC,gini,2000,0.9504194128220491
RFC,HIV-1 RT,PC,entropy,100,0.9485470341521869
RFC,HIV-1 RT,PC,entropy,500,0.9494457759137207
RFC,HIV-1 RT,PC,entropy,1000,0.9493708807669263
RFC,HIV-1 RT,PC,entropy,1500,0.9493708807669263
RFC,HIV-1 RT,PC,entropy,2000,0.9493708807669263
RFC,HIV-1 RT,ECFP4,gini,100,0.9474236069502695
RFC,HIV-1 RT,ECFP4,gini,500,0.9488466147393649
RFC,HIV-1 RT,ECFP4,gini,1000,0.9483223487118035
RFC,HIV-1 RT,ECFP4,gini,1500,0.9486219292989815
RFC,HIV-1 RT,ECFP4,gini,2000,0.9480227681246255
RFC,HIV-1 RT,ECFP4,entropy,100,0.9485470341521869
RFC,HIV-1 RT,ECFP4,entropy,500,0.9485470341521869
RFC,HIV-1 RT,ECFP4,entropy,1000,0.9489964050329539
RFC,HIV-1 RT,ECFP4,entropy,1500,0.9488466147393648
RFC,HIV-1 RT,ECFP4,entropy,2000,0.9489964050329538
RFC,HIV-1 RT,MIX,gini,100,0.9465248651887358
RFC,HIV-1 RT,MIX,gini,500,0.9470865787896945
RFC,HIV-1 RT,MIX,gini,1000,0.9468618933493109
RFC,HIV-1 RT,MIX,gini,1500,0.9468993409227082
RFC,HIV-1 RT,MIX,gini,2000,0.9463750748951467
RFC,HIV-1 RT,MIX,entropy,100,0.946412522468544
RFC,HIV-1 RT,MIX,entropy,500,0.9472738166566806
RFC,HIV-1 RT,MIX,entropy,1000,0.946861893349311
RFC,HIV-1 RT,MIX,entropy,1500,0.9470116836429
RFC,HIV-1 RT,MIX,entropy,2000,0.9466372079089274
