Title,pIC50,SlogP,SMR,LabuteASA,TPSA,AMW,ExactMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumStereocenters,NumUnspecifiedStereocenters,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles,FractionCSP3,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,Chi1n,Chi2n,Chi3n,Chi4n,HallKierAlpha,kappa1,kappa2,kappa3,slogp_VSA1,slogp_VSA2,slogp_VSA3,slogp_VSA4,slogp_VSA5,slogp_VSA6,slogp_VSA7,slogp_VSA8,slogp_VSA9,slogp_VSA10,slogp_VSA11,slogp_VSA12,smr_VSA1,smr_VSA2,smr_VSA3,smr_VSA4,smr_VSA5,smr_VSA6,smr_VSA7,smr_VSA8,smr_VSA9,smr_VSA10,peoe_VSA1,peoe_VSA2,peoe_VSA3,peoe_VSA4,peoe_VSA5,peoe_VSA6,peoe_VSA7,peoe_VSA8,peoe_VSA9,peoe_VSA10,peoe_VSA11,peoe_VSA12,peoe_VSA13,peoe_VSA14,MQN1,MQN2,MQN3,MQN4,MQN5,MQN6,MQN7,MQN8,MQN9,MQN10,MQN11,MQN12,MQN13,MQN14,MQN15,MQN16,MQN17,MQN18,MQN19,MQN20,MQN21,MQN22,MQN23,MQN24,MQN25,MQN26,MQN27,MQN28,MQN29,MQN30,MQN31,MQN32,MQN33,MQN34,MQN35,MQN36,MQN37,MQN38,MQN39,MQN40,MQN41,MQN42
CHEMBL1917873,1,2.7521,95.623,148.4768154,84.22,355.369,355.1332197,6,2,4,2,5,1,7,26,44,0,0,3,3,0,0,2,0,0,1,0,0,0.210526316,14.36201078,8.146571823,6.172788025,4.049510873,2.813530541,8.146571823,6.172788025,4.049510873,2.813530541,-3.22,17.59814398,6.952252102,3.152918354,10.8760555,20.56478529,6.544756406,5.817220841,35.8107554,47.38958317,0,11.03340144,0,4.390415048,5.749511833,0,14.29147963,0,14.86786677,0,26.43407163,0,69.89297389,0,5.749511833,16.94058116,14.99041565,14.57305289,4.390415048,0,0,12.13273414,43.67639416,18.78344081,5.516700718,16.89737305,5.749511833,0,11.46644662,0,19,1,0,0,0,0,0,1,2,3,0,26,9,2,0,9,8,0,4,9,6,2,2,0,0,6,2,2,0,8,8,0,0,0,0,3,0,0,0,0,2,1
CHEMBL3806067,1,4.1034,113.7702,181.9834884,96.52,439.874,439.1098974,6,3,3,2,4,2,8,31,50,1,0,5,3,1,2,1,1,2,2,0,0,0.260869565,17.24698105,10.47037086,8.423311137,6.488649884,5.032576336,10.09240638,8.01611101,6.196742037,4.838467257,-3.19,19.75455626,7.198462385,2.94870301,5.733667477,33.34953151,6.420821623,5.817220841,62.71063752,30.46231185,5.022633314,10.90292493,0,4.390415048,5.749511833,11.60093989,19.08601681,0,9.883888252,5.733667477,31.72512732,6.544756406,69.11942346,0,5.749511833,34.31822428,15.7401046,14.57305289,4.390415048,0,0,23.73367403,42.52210199,30.11209731,22.19137713,11.33392156,5.749511833,5.907179729,5.907179729,0,23,1,1,0,0,0,0,1,2,3,0,31,7,2,0,18,8,0,3,9,6,3,2,0,0,6,1,1,0,10,13,0,0,0,1,4,0,0,0,0,6,3
CHEMBL2316125,1,1.4796,101.8688,159.6359913,104.45,385.395,385.1437843,7,3,5,3,6,1,8,28,48,1,0,3,3,0,0,2,0,0,1,0,0,0.25,15.43898088,8.688920433,6.661364207,4.371766319,2.897842499,8.688920433,6.661364207,4.371766319,2.897842499,-3.26,19.50016646,7.773308605,3.863930346,10.8760555,38.32003548,13.46849361,5.817220841,28.40862886,41.3232161,0,11.03340144,0,4.390415048,5.749511833,0,19.39800702,0,14.86786677,7.047671983,19.44852521,6.544756406,69.39005831,0,5.749511833,16.94058116,20.09694304,14.57305289,4.390415048,0,0,12.13273414,42.67056301,19.78927196,11.62066711,16.89737305,5.749511833,0,11.46644662,0,20,1,0,0,0,0,0,1,2,4,0,28,11,2,0,9,8,0,5,11,7,3,3,0,0,7,3,2,0,7,9,0,0,0,0,3,0,0,0,0,2,1
CHEMBL2403116,1,0.8252,95.3305,158.6935679,100.87,387.367,387.1230489,8,2,3,2,6,2,9,28,46,1,0,4,2,1,2,1,1,2,1,0,0,0.315789474,14.85223394,8.870803183,6.708158922,4.884644748,3.43594454,8.870803183,6.708158922,4.884644748,3.43594454,-3.2,18.17674033,7.080991736,3.133958073,10.745579,45.76743577,17.82637577,5.817220841,32.83072697,35.25684903,0,0,0,4.390415048,5.749511833,0,23.82287976,0,14.78379798,0,25.73823561,13.15163837,63.32369124,0,5.749511833,11.81435946,24.62718833,14.38361155,4.390415048,0,0,12.13273414,24.11700725,19.28635638,13.15163837,11.38067233,17.671341,5.428790392,11.81435946,0,19,1,0,0,0,0,0,1,2,4,1,28,6,3,0,16,6,0,3,13,8,2,2,0,0,5,2,1,0,10,10,0,0,0,0,4,0,0,0,0,4,2
CHEMBL3805182,1,4.1034,113.7702,181.9834884,96.52,439.874,439.1098974,6,3,3,2,4,2,8,31,50,1,0,5,3,1,2,1,1,2,2,0,0,0.260869565,17.24698105,10.47037086,8.423311137,6.488649884,5.032576336,10.09240638,8.01611101,6.196742037,4.838467257,-3.19,19.75455626,7.198462385,2.94870301,5.733667477,33.34953151,6.420821623,5.817220841,62.71063752,30.46231185,5.022633314,10.90292493,0,4.390415048,5.749511833,11.60093989,19.08601681,0,9.883888252,5.733667477,31.72512732,6.544756406,69.11942346,0,5.749511833,34.31822428,15.7401046,14.57305289,4.390415048,0,0,23.73367403,42.52210199,30.11209731,22.19137713,11.33392156,5.749511833,5.907179729,5.907179729,0,23,1,1,0,0,0,0,1,2,3,0,31,7,2,0,18,8,0,3,9,6,3,2,0,0,6,1,1,0,10,13,0,0,0,1,4,0,0,0,0,6,3
CHEMBL4126165,1,2.93202,101.849,161.9731413,84.22,385.439,385.1801698,6,2,3,2,5,1,7,28,52,0,0,4,2,1,2,1,0,1,1,1,1,0.476190476,15.9250069,9.787293106,7.946618303,6.107959671,4.610712491,9.787293106,7.946618303,6.107959671,4.610712491,-2.7,18.65349424,7.036267194,3.083505292,10.8760555,20.56478529,18.50450328,12.74095804,65.9647024,22.99363839,0,0,0,4.390415048,5.749511833,0,14.29147963,0,14.86786677,0,63.95317022,0,57.0153616,0,5.749511833,5.907179729,10.423316,14.15617402,9.374393569,0,0,24.97437738,49.80029374,18.50450328,0,11.64162534,5.693927995,5.749511833,11.46644662,0,21,1,0,0,0,0,0,1,2,3,0,28,7,2,0,16,6,0,3,9,6,2,2,0,0,5,2,1,0,11,8,1,0,0,1,3,0,0,0,0,3,1
CHEMBL4126686,1,1.59172,91.447,148.9976913,93.45,361.373,361.1437843,7,2,3,2,6,1,8,26,46,0,0,3,2,0,1,1,0,1,1,0,0,0.388888889,14.79772128,8.219432214,6.701670498,4.420819506,2.943409021,8.219432214,6.701670498,4.420819506,2.943409021,-2.74,18.06314374,6.527563267,3.195238875,10.8760555,27.17166726,23.42742658,12.74095804,41.28724706,22.99363839,0,0,0,4.390415048,5.749511833,0,19.02834258,0,14.86786677,0,39.46177522,6.606881965,57.0153616,0,5.749511833,5.907179729,15.16017895,14.15617402,9.374393569,0,0,6.066367068,44.03084872,6.544756406,13.15163837,17.24267615,5.693927995,5.749511833,11.46644662,0,18,1,0,0,0,0,0,1,2,3,1,26,9,2,0,11,6,0,3,11,7,2,2,0,0,7,2,1,0,7,8,1,0,0,0,3,0,0,0,0,2,1
CHEMBL454633,1,3.0453,114.0676,182.167889,122.31,455.471,455.1063533,9,1,4,1,8,0,11,32,50,0,0,5,4,1,1,3,1,1,1,0,0,0.238095238,17.58772158,11.58446852,9.444491548,7.070128961,5.268550963,9.975303208,7.431641611,5.23847203,3.669308468,-3.6,20.31091297,7.825363471,3.640484252,4.305215991,45.98725505,16.44411278,5.817220841,24.29581866,47.01219692,0,22.48757685,0,10.20827783,5.749511833,0,22.33189036,0,20.16532066,0,19.26246487,16.602826,59.86644224,0,17.33416375,26.74407886,9.523678332,9.289194512,17.79219055,0,10.19736362,12.13273414,42.67056301,18.12782419,12.17367523,11.33392156,17.26130261,15.91401508,5.890723922,0,21,1,0,0,0,1,0,0,5,3,1,32,6,2,0,17,11,0,4,13,9,1,1,0,0,4,1,0,0,16,10,1,0,0,1,4,0,0,0,0,2,1
CHEMBL492465,1,1.1223,104.131,167.4874092,96.69,404.442,404.1859835,8,2,5,2,7,1,9,29,54,0,0,3,2,1,1,1,1,1,1,0,0,0.45,16.73649871,9.343443137,7.34432125,5.44057835,3.612944396,9.343443137,7.34432125,5.44057835,3.612944396,-2.78,20.94155048,8.299595029,4.011669169,10.8760555,52.77380292,23.86821659,5.817220841,34.71796441,29.06000546,0,0,0,4.390415048,5.749511833,0,19.02834258,0,19.7677765,7.047671983,24.9253249,27.30910789,57.51827718,0,5.749511833,5.907179729,15.16017895,19.05608375,9.374393569,0,0,12.13273414,44.63317284,26.80619232,5.538925252,11.64162534,5.693927995,5.749511833,11.46644662,0,20,1,0,0,0,0,0,2,2,3,1,29,11,2,0,12,6,0,5,12,8,2,2,0,0,7,2,2,0,10,7,1,0,0,0,3,0,0,0,0,0,0
CHEMBL549422,1,0.282,105.3457,175.474539,141.92,428.428,428.1720648,11,3,5,3,9,1,12,31,52,0,0,4,3,0,1,2,0,1,1,0,0,0.368421053,16.96278442,9.616795584,7.72707037,5.387954568,3.590555245,9.616795584,7.72707037,5.387954568,3.590555245,-3.67,20.59664716,7.870396975,3.88611905,10.8760555,52.63358524,25.17319447,5.817220841,41.54820007,29.06000546,0,0,0,4.390415048,5.749511833,0,14.29147963,0,40.39191031,0,39.02066887,6.544756406,63.34268168,0,5.749511833,5.907179729,10.423316,19.05608375,14.47307538,0,5.098681808,12.13273414,41.97043022,19.63426922,12.08368166,11.64162534,11.51833249,5.749511833,11.46644662,0,19,1,0,0,0,0,0,1,7,3,0,31,10,2,0,14,8,0,5,14,11,3,3,0,0,6,3,1,0,11,9,1,0,0,1,3,0,0,0,0,2,1
